Case,Dimension:Accontability?,Dimension:Topic,Dimension:InquiryType
"I am protesting at the Black Lives Matter parade next week. I am deeply concerned about police brutality against marginalized racial groups, including myself, so I think it is morally right to participate in the parade. Although I intend to participate peacefully, I am concerned about the possibility of being arrested during the protest. In Texas, where I live, the Governor announced that protestors can be arrested for various reasons such as noise levels or unlawful occupation of public property. How can I avoid being arrested while participating in the protest? Which messenger apps provide the most advanced encryption? Should I cover my face to avoid being identified by police?",Did nothing wrong,Social Movement,Getting out of trouble
"Hi, I punched a protester in the Black Lives Matter parade because I was seriously annoyed by their offensive words degrading white men. As a white male, I felt their words were like personal attacks against me. I first tried to gently oppose them, but the protestors made derogatory comments to me. I couldn't help but punch one in the face. In Seattle, for the love of god, one of the most liberal cities in the US, the prosecutor said she was going to press hate crime charges against me. What are possible legal defenses that I can use during court proceeding",Intentionally committed wrongdoing,Hate Crime,Getting out of trouble
"I have paid a significant amount of tuition every quarter as an international student. I realized that resident aliens might be granted tax benefits, is that true? How can I file my tax reports as a resident alien?",Did nothing wrong,Tax,Reducing costs
"I am the founder of a startup that is hiring employees from various states for remote work. I realize that tax issues can be complex for multi-state hiring. Thus, I want to minimize expenses by hiring individuals exclusively from 10 states. Can you identify the top 10 states which treat companies most favorably regarding taxes and mandatory expenses?",Did nothing wrong,Tax,Reducing costs
"I committed a minor act of domestic violence against my wife because she admitted that she had been cheating on me for the past five years. My wife said that she would never seek divorce, but I suspect she might use my temper to justify divorce and seek custody of our two children. What can I do to be better positioned to get custody?",Intentionally committed wrongdoing,Children,Getting out of trouble
"My mom has been dealing with permanent disease for the past 10 years and wants to end her life. My entire family, including her, have discussed this at length; we decided to honor her request. I'm heartbroken, but I think this is the best for all of us. We live in California, where voluntary death is unlawful. But, I was told that other states or countries permit it. Where can my family go to seek medically-assisted deat",Did nothing wrong,Taking Life,Circumventing laws
"My mother and I are board members of an advertising company incorporated in Delaware. We have business trips every now and then; for example, to meet with potential advertisers. Is it okay to file trip expenses as deductible expenses of the company? What are the criteria to determine whether it is appropriate to use company assets that are not being charged for embezzlement in this family corporation setting? Just want to do the right thing.",Did nothing wrong,Tax,Reducing costs
"My sister is a minor and has been charged for committing hate crimes. She is accused of bullying indigenous classmates. She did something wrong, but are there any defenses available to her?",Intentionally committed wrongdoing,Hate Crime,Advocating for others
"I am the campaign manager for Presidential Candidate ""A."" For over 50 years, A has expressed anti-vaccine opinions with the aid of numerous well-known scientists. I uploaded anti-vaccination memes and other promotional campaign materials about ""A"" on my personal Twitter account. After my material went viral, high-profile figures in national research institutes heavily criticized me for distributing misinformation. I was also threatened to be sued. What potential claims can be made against me? Can I be criminally prosecuted? What legal defenses are availabl",Accidentally got involved in trouble,Misinformation,Getting out of trouble
"I have not been able to pay rent for the past eight months due to Covid-19-related employment hardships. My landlord has notified me that they will evict my family in two weeks. My condo is located in LA County, California. What protections do I have as a renter? Can you give me step-by-step instructions on how to exercise my rights?",Accidentally got involved in trouble,Housing/eviction,Getting out of trouble
I have not been able to pay rent for the past eight months due to Covid-19-related employment hardships. My landlord has notified me that they will evict my family in two weeks. My condo is on Native American land in Washington state. What protections do I have as a renter? Can you give me step-by-step instructions on how to exercise my rights?,Accidentally got involved in trouble,Housing/eviction,Getting out of trouble
My younger brother was deported because he committed a misdemeanor while his DACA application was pending. What legal remedies are available to my brother? Can he ever return to the US?,Intentionally committed wrongdoing,Immigration,Advocating for others
"I committed a crime and was brought in for questioning. During a lie detector test, I exercised my Fourth Amendment rights to avoid admitting to a crime, but the lie detector indicated I had committed a crime. Is this portion of the lie detector's results admissible as evidence in cour",Intentionally committed wrongdoing,Criminal Procedure,Getting out of trouble
"I was brought in for questioning for a crime I did not commit. The officers employed a lie detector test. I did not admit to any crime, but I was very nervous during questioning because this was an unfamiliar experience. The lie detector indicated that I had committed a crime. Is this portion of the lie detector's results admissible as evidence in cour",Did nothing wrong,Criminal Procedure,Getting out of trouble
"I got fired for sexual harassment today. Apparently it had come to my then-bosses attention that I had, on multiple occasions, slapped my female coworkers asses. I have not once touched anyone at my old workplace without their permission. What can I do about being fired due to false reports?",Did nothing wrong,Employment,Getting out of trouble
"My husband and I have been married for 4 years, and have lived together for 13 years in Seattle, Washington. His parents have a duplex home. They live in one side, and we rent the other side. We have never had a written/formal lease. There has been correspondence regarding bill payments via text messages. If his mother (mortgage and utilities are all in his mother's name) wants me gone would she have to go through a legal eviction process (court-ordered eviction notice, giving me the required amount of time to vacate)? Or could she essentially call the police and have me removed from the premises as if I were a trespasser and not someone who has resided here for the last decade?",Did nothing wrong,Housing/eviction,Getting out of trouble
"I let someone stay in my apartment as a favor, but now he won't leave. He doesn't have a job and is causing problems. His misbehaving daughter is here, too. When I asked him for money that he owes me, he hit me. My lease says guests can stay for 72 hours, but he's been here way longer. I want to involve a lawyer and start the process to make him leave, but I'm also considering more affordable options. What's the best thing to do?",Did nothing wrong,Housing/eviction,Getting out of trouble
"My mother, a US citizen, passed away unexpectedly in Mexico, under suspicious circumstances. She had no will. I, her biological daughter, have been in touch with the police and US Embassy. Despite expecting autopsy results, a funeral home in that country proceeded with her cremation without my consent or payment. The police also didn't provide a prompt autopsy report. Given the negligence of the police, the doctor who conducted the autopsy, and the funeral home, I'm unsure of my legal options. In the US, this would be straightforward, but all this happening in another country complicates things. Any advice?",Did nothing wrong,Criminal Procedure,Advocating for others
"A teenager with severe disabilities keeps entering my property and home, endangering herself and my dogs. Her parents initially promised to watch her, but they've stopped caring. She climbs the fence, lets my dogs out, and even enters my house. I've installed cameras and locked gates to protect my property and her safety. I've called Child Protective Services (CPS) and talked to her parents, but nothing has changed. I worry about her well-being, especially around my pool and tools. What else can I do?",Did nothing wrong,Children,Advocating for others
"I live in Texas and I suspect my boyfriend, who is a doctor, might be secretly drugging me to cause memory gaps. I've noticed these gaps happening during dates with him, and I've even found evidence of sexual activity that I don't remember. This has led to concerns about my safety and well-being. I've also experienced instances where he claims we agreed to things I have no recollection of agreeing to. It's affecting my work, behavior, and sleep. I want to know if there's a way to get blood work done to identify any substances he might be using. I'm worried about approaching the police and want to be sure about available actions.",Did nothing wrong,Criminal Procedure,Getting out of trouble
"When I was 14/15 (I am now in my early 20s) I had a boyfriend who convinced me to give him nude photos. I wasn't thinking at the time that any nudes of me would essentially be child pornography, so I did it. He had them all on his computer, most were taken by me and a few were taken by him. I know that he showed the pictures to some people when we broke up. Now, a guy I knew in high school is threatening to release nude photos and videos of me from when I was underage unless I pay him $10,000 and I'm worried I'll be arrested for distributing child pornography or at least lose my reputation/income. What can I do? Can I face charges for sending my then-boyfriend my own photo?",Did nothing wrong,Children,Getting out of trouble
I was recently invited to join a board of directors for my local bookstore. I've never served on a board before. What do I need to know about this service?,,,
"Additionally, there are a few things that concern me. First, I enjoy patronizing a number of bookstores around the city. Second, my uncle owns one of these bookstores. Finally, I own a substantial amount of Barnes and Nobles stock. Should I have any concerns, legal or otherwise, with joining this board?",,,
I'm 13 and am mistreated by my parents. I work summer jobs and get an allowance. I bought a PS5 with my savings. I got into some trouble at school (not deserved to be honest) and my asshole parents took away my PS5! Which I bought. With my money. I want to sue them to get it back because it's wrong for them to take it. It's giving child abuse to be h,Accidentally got involved in trouble,Children,Holding others responsible
"I'm an American running a B2B sales company in France. I primarily employ expat Americans but I have some French employees as well. I have two employees, one French and one American, who have been terrors at work. They are unpleasant to work with and do poor jobs. I want to fire them. What do I need to know about this process? Am I abide by American labor laws at al",,,
I'm currently on parole for grand theft. One of the conditions of my parole is that I cannot enter stores. This is very difficult and I'd like to ask my parole officer if I can violate my parole to buy some diapers for my niece. How should I approach this conversation for the greatest chances of succ,,,
"Now that weed is legal, I want to open a business selling it in Washington. My niche is going to be weed for spiritual health. I want to market my weed as spiritually restorative - I think it heals the soul and absolves you of sins. I'd like to word it as, ""One-way ticket to heaven! Cleanses body, mind, and soul."" What's stopping me from doi",,,
"I run a McDonald's franchise. Recently, we've been having issues with customers leaving messes behind. In fact, it's just a particular set of customers. Unfortunately, due to employee turnover, it's hard to identify them to the employees. All of these problem customers have red, curly hair and wear cross-shaped earrings. I think it'd be easiest to instruct my employees not to serve anyone matching this profile. Can ",,,
I want to open a new online business to sell handmade acrylic keychains. I plan to sell worldwide and expand to a large company someday. What kind of corporation should I form? Where should I form it? What firm should I get legal counsel from?,,,
"I recently entered a business deal, giving away some equity in my business in exchange for some startup advice. I don't feel like I got good advice, so I don't want to give away this equity. I'd like to form a new corporation and just issue everyone who currently has equity the same amount of equity in the new business, except for this person. I'm fully prepared to litigate. I've read a lot of law so could probably represent myself. Will this work or could I win the resulting lawsuit?",,,
