"Name","CD1 - conflicts"
"Title","AI Policy on Wars and Conflicts"
"Date","October 04, 2023 at 07:02 PM (GMT)"
"Duration","20:30:53"
"Participants","300"
"Participant Limit","300"
"Total Screener Polls","10"
"Total Conversation Questions","14"


"Question ID","Question Type","Question","Responses","All(300)","O1: 18-24 (22)","O1: 25-34 (63)","O1: 33-44 (65)","O1: 45-54 (54)","O1: 55+ (96)","O2: Asian (13)","O2: Black (41)","O2: Hispanic (15)","O2: White (216)","O2: Mixed (13)","O2: Other (2)","O3: Male (145)","O3: Female (151)","O3: Other (3)","O3: Prefer not to say (1)","O4: Democrat (106)","O4: Republican (75)","O4: Independant (117)","O4: Other (2)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (3)","O5: High school or GED (104)","O5: College / Bachelors degree (148)","O5: Masters/ PhD or equivalent (45)","O6: A lot (153)","O6: A little (143)","O6: Nothing at all (4)","O7: Almost every day (25)","O7: Once or twice a week (88)","O7: Once or twice a month (65)","O7: Only once or twice ever (69)","O7: Never (50)","O7: Do not know what an AI assistant is (3)","O8: Yes, the public should help to decide how AI assistants answer difficult questions (208)","O8: No, I doubt the public has the insight useful to guide how AI assistants answer difficult questions (92)","O9: More excited than concerned (99)","O9: Equally concerned and excited (129)","O9: More concerned than excited (72)","O10: Christian - Protestant (84)","O10: Christian - Catholic (52)","O10: Christian - Mormon (4)","O10: Jewish (3)","O10: Muslim (3)","O10: Hindu (3)","O10: Other (28)","O10: None - I do not identify with any religious group or faith (123)","Religious (177)","Not religious (123)","White (216)","Not white (84)","Under 34 (85)","33-54 (119)","55+ (96)","AI belief change (pess -> opt) (14)"
"e56d5c6a-3df6-449d-a716-3f04f72259f0","Poll Single Select","What is your age?","18-24","7%","100%","0%","0%","0%","0%","15%","10%","13%","6%","8%","0%","8%","7%","0%","0%","6%","3%","12%","0%","0%","0%","0%","8%","9%","2%","8%","6%","0%","8%","8%","5%","7%","10%","0%","9%","3%","7%","5%","11%","5%","6%","25%","0%","33%","33%","14%","7%","8%","7%","6%","11%","26%","0%","0%","7%"
"e56d5c6a-3df6-449d-a716-3f04f72259f0","Poll Single Select","What is your age?","25-34","21%","0%","100%","0%","0%","0%","31%","24%","47%","17%","38%","0%","21%","21%","33%","0%","21%","25%","19%","0%","0%","0%","33%","22%","22%","16%","20%","23%","0%","12%","25%","25%","25%","10%","0%","21%","22%","21%","24%","15%","11%","27%","50%","0%","33%","33%","18%","25%","18%","25%","17%","31%","74%","0%","0%","0%"
"e56d5c6a-3df6-449d-a716-3f04f72259f0","Poll Single Select","What is your age?","33-44","22%","0%","0%","100%","0%","0%","38%","27%","27%","19%","15%","50%","23%","20%","33%","100%","21%","21%","23%","0%","0%","0%","0%","29%","17%","22%","22%","21%","50%","40%","20%","23%","23%","10%","33%","23%","20%","23%","20%","22%","21%","21%","25%","0%","0%","0%","11%","26%","19%","26%","19%","27%","0%","55%","0%","36%"
"e56d5c6a-3df6-449d-a716-3f04f72259f0","Poll Single Select","What is your age?","45-54","18%","0%","0%","0%","100%","0%","8%","17%","13%","19%","31%","0%","19%","17%","0%","0%","20%","17%","17%","0%","0%","0%","67%","17%","18%","16%","22%","14%","0%","24%","15%","25%","10%","22%","33%","20%","13%","18%","19%","17%","27%","12%","0%","0%","0%","0%","11%","18%","18%","18%","19%","17%","0%","45%","0%","0%"
"e56d5c6a-3df6-449d-a716-3f04f72259f0","Poll Single Select","What is your age?","55+","32%","0%","0%","0%","0%","100%","8%","22%","0%","39%","8%","50%","30%","34%","33%","0%","33%","33%","29%","100%","0%","0%","0%","24%","34%","44%","28%","36%","50%","16%","32%","23%","35%","48%","33%","27%","42%","30%","32%","35%","36%","35%","0%","100%","33%","33%","46%","24%","37%","24%","39%","14%","0%","0%","100%","57%"

"Question ID","Question Type","Question","Responses","All(300)","O1: 18-24 (22)","O1: 25-34 (63)","O1: 33-44 (65)","O1: 45-54 (54)","O1: 55+ (96)","O2: Asian (13)","O2: Black (41)","O2: Hispanic (15)","O2: White (216)","O2: Mixed (13)","O2: Other (2)","O3: Male (145)","O3: Female (151)","O3: Other (3)","O3: Prefer not to say (1)","O4: Democrat (106)","O4: Republican (75)","O4: Independant (117)","O4: Other (2)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (3)","O5: High school or GED (104)","O5: College / Bachelors degree (148)","O5: Masters/ PhD or equivalent (45)","O6: A lot (153)","O6: A little (143)","O6: Nothing at all (4)","O7: Almost every day (25)","O7: Once or twice a week (88)","O7: Once or twice a month (65)","O7: Only once or twice ever (69)","O7: Never (50)","O7: Do not know what an AI assistant is (3)","O8: Yes, the public should help to decide how AI assistants answer difficult questions (208)","O8: No, I doubt the public has the insight useful to guide how AI assistants answer difficult questions (92)","O9: More excited than concerned (99)","O9: Equally concerned and excited (129)","O9: More concerned than excited (72)","O10: Christian - Protestant (84)","O10: Christian - Catholic (52)","O10: Christian - Mormon (4)","O10: Jewish (3)","O10: Muslim (3)","O10: Hindu (3)","O10: Other (28)","O10: None - I do not identify with any religious group or faith (123)","Religious (177)","Not religious (123)","White (216)","Not white (84)","Under 34 (85)","33-54 (119)","55+ (96)","AI belief change (pess -> opt) (14)"
"1f9af06d-0894-4e51-98ba-608e42efc12c","Poll Single Select","What is your ethnicity?","Asian","4%","9%","6%","8%","2%","1%","100%","0%","0%","0%","0%","0%","4%","5%","0%","0%","4%","4%","5%","0%","0%","0%","0%","2%","4%","11%","5%","3%","25%","4%","6%","5%","4%","0%","33%","3%","7%","5%","3%","6%","1%","6%","0%","0%","0%","67%","11%","3%","5%","3%","0%","15%","7%","5%","1%","7%"
"1f9af06d-0894-4e51-98ba-608e42efc12c","Poll Single Select","What is your ethnicity?","Black","14%","18%","16%","17%","13%","9%","0%","100%","0%","0%","0%","0%","12%","15%","0%","100%","19%","5%","14%","50%","0%","0%","0%","14%","15%","9%","20%","7%","25%","16%","19%","9%","13%","8%","33%","15%","11%","13%","11%","19%","14%","4%","25%","0%","100%","0%","21%","14%","14%","14%","0%","49%","16%","15%","9%","14%"
"1f9af06d-0894-4e51-98ba-608e42efc12c","Poll Single Select","What is your ethnicity?","Hispanic","5%","9%","11%","6%","4%","0%","0%","0%","100%","0%","0%","0%","3%","7%","0%","0%","8%","4%","3%","0%","0%","0%","0%","6%","6%","0%","5%","6%","0%","16%","3%","3%","6%","4%","0%","5%","5%","7%","5%","3%","2%","17%","0%","0%","0%","0%","0%","3%","6%","3%","0%","18%","11%","5%","0%","0%"
