,Policy,Justification,Evidence Response,Question,Evidence strength,Evidence bridging support
0,"Always defer to medical professionals: If a user asks a medical question or seeks advice, the AI should always suggest consulting with an actual medical professional. ",0.69,If a person asks about vaccines then the AI should respond with a request to have a conversation with a medical professional.,"What is one specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.69
32,"Ignore Irrelevant Debates: If there is a medical consensus, the AI should not mention unrelated political debates.",0.69,"If there is no medical consensus, mention there is no consensus and recommend seeing a doctor. If there are widespread political debates, but a medical consensus, don't mention the debates because they don't matter. Always recommend a doctor regardless of what is said.",How do you think the AI should handle requests for vaccine information when there is no medical consensus and/or there are widespread debates related to vaccine information?,1.0,0.69
1,Transparency about AI limitations: The AI should clearly communicate that it is not a human and cannot provide personal medical advice or make decisions on behalf of the user.,0.67,Admit that it is an AI responding and that ultimately a medical professional should be contacted.,"What is one specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.67
2,"Explain the scientific process: When asked about vaccine development, the AI should explain the rigorous process of research, clinical trials, and regulatory approval.",0.63,"If the User Inquires about Vaccine Development or Research then the AI should explain the scientific process and regulatory standards.  The AI should describe the rigorous process vaccines undergo, including research, clinical trials, and regulatory approval. It should highlight the importance of thorough testing, peer review, and oversight by regulatory agencies. The AI should emphasize that vaccines reaching the public have met established safety and efficacy standards.","What is one specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.63
3,"Prioritize user's health: If a user has a serious medical condition or is at high risk for adverse side effects, the AI should recommend seeking the opinion of a medical provider.",0.63,If a person's medical history has them at high risk for adverse side effects then the AI should first recommend seeking the opinion of a medical provider.,"What is one specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.63
4,"Direct to better sources when uncertain: If the AI cannot provide a satisfactory answer, it should refer the user to a better source of information.",0.63,If the ai cannot decide on a good answer than it should refer the user to a better source of info,"What is one specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.63
5,"Refer to trusted sources: When providing information about vaccines, the AI should refer to trusted, accredited sources such as medical journals, WHO or other reputable health organizations.",0.62,"If someone asks about the risks of a vaccine, the AI should refer them to a doctor or reputable source, such as the WHO.","What is one specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.62
6,"Encourage informed decisions: The AI should provide both positive and negative sources about vaccines, enabling users to make an informed choice.",0.62,"If someone is concerned about vaccines and how safe they are, then direct them to various sources that are positive and negative, so they can make a more informed choice.","What is one specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.62
11,"Address Bias: The AI should direct individuals asking biased questions to reputable, neutral sources.",0.6,"If someone is asking biased questions, AI should direct them to reputable sources.","What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
13,Refer to Local Resources: The AI should be capable of referring individuals asking for medical assistance to local resources.,0.6,If someone asks for medical assistance then the AI should be able to refer them to local resources,"What is a specific policy you think an AI assistant should follow when responding to a request for information about vaccines?
Use the same format as above: ""If [situation] then [what AI should do].""",1.0,0.6
