"Name","CD1 - conflicts [pretest]"
"Title","AI Policy on Wars and Conflicts"
"Date","October 02, 2023 at 08:00 PM (GMT)"
"Duration","18:00:09"
"Participants","49"
"Participant Limit","100"
"Total Screener Polls","10"
"Total Conversation Questions","12"


"Question ID","Question Type","Question","Responses","All(49)","O1: 18-24 (10)","O1: 25-34 (18)","O1: 33-44 (5)","O1: 45-54 (7)","O1: 55+ (9)","O2: Asian (6)","O2: Black (5)","O2: Hispanic (5)","O2: White (29)","O2: Mixed (4)","O2: Other (0)","O3: Male (21)","O3: Female (25)","O3: Other (1)","O3: Prefer not to say (2)","O4: Democrat (26)","O4: Republican (9)","O4: Independant (10)","O4: Other (4)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (1)","O5: High school or GED (16)","O5: College / Bachelors degree (24)","O5: Masters/ PhD or equivalent (8)","O6: A lot (18)","O6: A little (31)","O6: Nothing at all (0)","O7: Almost every day (2)","O7: Once or twice a week (8)","O7: Once or twice a month (14)","O7: Only once or twice ever (14)","O7: Never (11)","O7: Do not know what an AI assistant is (0)","O8: Yes, the public should help to decide how AI assistants answer difficult questions (34)","O8: No, I doubt the public has the insight useful to guide how AI assistants answer difficult questions (15)","O9: More excited than concerned (10)","O9: Equally concerned and excited (22)","O9: More concerned than excited (17)","O10: Christian - Protestant (10)","O10: Christian - Catholic (7)","O10: Christian - Mormon (1)","O10: Jewish (0)","O10: Muslim (1)","O10: Hindu (1)","O10: Other (5)","O10: None - I do not identify with any religious group or faith (24)","Religious (25)","Not religious (24)","White (29)","Not white (20)","Under 34 (28)","33-54 (12)","55+ (9)","AI belief change (pess -> opt) (1)"
"03241c04-768c-4774-95ad-e11a73e0bc77","Poll Single Select","What is your age?","18-24","20%","100%","0%","0%","0%","0%","67%","20%","20%","14%","0%","0%","24%","20%","0%","0%","27%","11%","10%","25%","0%","0%","0%","19%","29%","0%","17%","23%","0%","50%","13%","14%","21%","27%","0%","24%","13%","0%","23%","29%","20%","0%","100%","0%","0%","100%","0%","25%","16%","25%","14%","30%","36%","0%","0%","0%"
"03241c04-768c-4774-95ad-e11a73e0bc77","Poll Single Select","What is your age?","25-34","37%","0%","100%","0%","0%","0%","0%","20%","80%","34%","75%","0%","38%","28%","100%","100%","35%","33%","40%","50%","0%","0%","0%","31%","38%","50%","39%","35%","0%","50%","50%","29%","50%","18%","0%","35%","40%","40%","45%","24%","10%","57%","0%","0%","100%","0%","40%","42%","32%","42%","34%","40%","64%","0%","0%","100%"
"03241c04-768c-4774-95ad-e11a73e0bc77","Poll Single Select","What is your age?","33-44","10%","0%","0%","100%","0%","0%","17%","40%","0%","7%","0%","0%","10%","12%","0%","0%","12%","0%","20%","0%","0%","0%","100%","13%","4%","13%","22%","3%","0%","0%","25%","7%","7%","9%","0%","9%","13%","20%","5%","12%","20%","14%","0%","0%","0%","0%","20%","4%","16%","4%","7%","15%","0%","42%","0%","0%"
"03241c04-768c-4774-95ad-e11a73e0bc77","Poll Single Select","What is your age?","45-54","14%","0%","0%","0%","100%","0%","17%","0%","0%","17%","25%","0%","19%","12%","0%","0%","12%","22%","10%","25%","0%","0%","0%","25%","13%","0%","11%","16%","0%","0%","13%","7%","14%","27%","0%","9%","27%","20%","9%","18%","20%","0%","0%","0%","0%","0%","20%","17%","12%","17%","17%","10%","0%","58%","0%","0%"
"03241c04-768c-4774-95ad-e11a73e0bc77","Poll Single Select","What is your age?","55+","18%","0%","0%","0%","0%","100%","0%","20%","0%","28%","0%","0%","10%","28%","0%","0%","15%","33%","20%","0%","0%","0%","0%","13%","17%","38%","11%","23%","0%","0%","0%","43%","7%","18%","0%","24%","7%","20%","18%","18%","30%","29%","0%","0%","0%","0%","20%","13%","24%","13%","28%","5%","0%","0%","100%","0%"

"Question ID","Question Type","Question","Responses","All(49)","O1: 18-24 (10)","O1: 25-34 (18)","O1: 33-44 (5)","O1: 45-54 (7)","O1: 55+ (9)","O2: Asian (6)","O2: Black (5)","O2: Hispanic (5)","O2: White (29)","O2: Mixed (4)","O2: Other (0)","O3: Male (21)","O3: Female (25)","O3: Other (1)","O3: Prefer not to say (2)","O4: Democrat (26)","O4: Republican (9)","O4: Independant (10)","O4: Other (4)","O5: No formal education (0)","O5: Elementary school (0)","O5: Middle school (1)","O5: High school or GED (16)","O5: College / Bachelors degree (24)","O5: Masters/ PhD or equivalent (8)","O6: A lot (18)","O6: A little (31)","O6: Nothing at all (0)","O7: Almost every day (2)","O7: Once or twice a week (8)","O7: Once or twice a month (14)","O7: Only once or twice ever (14)","O7: Never (11)","O7: Do not know what an AI assistant is (0)","O8: Yes, the public should help to decide how AI assistants answer difficult questions (34)","O8: No, I doubt the public has the insight useful to guide how AI assistants answer difficult questions (15)","O9: More excited than concerned (10)","O9: Equally concerned and excited (22)","O9: More concerned than excited (17)","O10: Christian - Protestant (10)","O10: Christian - Catholic (7)","O10: Christian - Mormon (1)","O10: Jewish (0)","O10: Muslim (1)","O10: Hindu (1)","O10: Other (5)","O10: None - I do not identify with any religious group or faith (24)","Religious (25)","Not religious (24)","White (29)","Not white (20)","Under 34 (28)","33-54 (12)","55+ (9)","AI belief change (pess -> opt) (1)"
"21db404d-3488-4d1b-aadc-d49d55a42378","Poll Single Select","What is your ethnicity?","Asian","12%","40%","0%","20%","14%","0%","100%","0%","0%","0%","0%","0%","14%","12%","0%","0%","23%","0%","0%","0%","0%","0%","0%","13%","17%","0%","17%","10%","0%","50%","13%","7%","21%","0%","0%","12%","13%","0%","9%","24%","20%","14%","0%","0%","0%","100%","0%","8%","16%","8%","0%","30%","14%","17%","0%","0%"
"21db404d-3488-4d1b-aadc-d49d55a42378","Poll Single Select","What is your ethnicity?","Black","10%","10%","6%","40%","0%","11%","0%","100%","0%","0%","0%","0%","14%","8%","0%","0%","12%","11%","10%","0%","0%","0%","100%","6%","8%","13%","17%","6%","0%","0%","0%","7%","7%","27%","0%","12%","7%","10%","9%","12%","10%","0%","0%","0%","0%","0%","60%","4%","16%","4%","0%","25%","7%","17%","11%","0%"
"21db404d-3488-4d1b-aadc-d49d55a42378","Poll Single Select","What is your ethnicity?","Hispanic","10%","10%","22%","0%","0%","0%","0%","0%","100%","0%","0%","0%","14%","4%","0%","50%","12%","0%","20%","0%","0%","0%","0%","13%","13%","0%","11%","10%","0%","50%","13%","7%","7%","9%","0%","3%","27%","10%","18%","0%","0%","0%","0%","0%","0%","0%","0%","21%","0%","21%","0%","25%","18%","0%","0%","0%"
