"Name","CD2 - conflicts"
"Title","Feedback on tech policy"
"Date","October 13, 2023 at 06:15 PM (GMT)"
"Duration","69:45:47"
"Participants","300"
"Participant Limit","300"
"Total Screener Polls","10"
"Total Conversation Questions","29"


"Question ID","Question Type","Question","Responses","All(300)","O1: 18-24 (33)","O1: 25-34 (58)","O1: 33-44 (60)","O1: 45-54 (52)","O1: 55+ (97)","O2: Asian (22)","O2: Black (21)","O2: Hispanic (11)","O2: White (231)","O2: Mixed (10)","O2: Other (5)","O3: Male (152)","O3: Female (143)","O3: Other (4)","O3: Prefer not to say (1)","O4: Christian - Protestant (98)","O4: Christian - Catholic (44)","O4: Christian - Mormon (6)","O4: Jewish (8)","O4: Muslim (1)","O4: Hindu (2)","O4: Other (19)","O4: None - I do not identify with any religious group or faith (122)","O5: Democrat (107)","O5: Republican (81)","O5: Independant (111)","O5: Other (1)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (85)","O6: College / Bachelors degree (165)","O6: Masters/ PhD or equivalent (48)","O7: A lot (140)","O7: A little (160)","O7: Nothing at all (0)","O8: Almost every day (37)","O8: Once or twice a week (89)","O8: Once or twice a month (57)","O8: Only once or twice ever (69)","O8: Never (48)","O8: Do not know what an AI assistant is (0)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (218)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (82)","O10: More excited than concerned (92)","O10: Equally concerned and excited (134)","O10: More concerned than excited (74)","Religious (178)","Not religious (122)","White (231)","Not white (69)","Under 34 (91)","33-54 (112)","55+ (97)","Support initial policy (249)","Unsure on initial policy (30)","Don't support initial policy (10)","Flipped to yes (10)","Unsure or dont support initial policy (40)"
"d979bb1c-f437-4a07-ab57-c8fb4941f6e5","Poll Single Select","What is your age?","18-24","11%","100%","0%","0%","0%","0%","27%","19%","18%","9%","10%","0%","13%","8%","50%","0%","6%","7%","0%","13%","0%","50%","11%","16%","10%","10%","13%","0%","0%","0%","0%","24%","7%","2%","13%","9%","0%","8%","13%","12%","9%","10%","0%","14%","4%","11%","11%","11%","7%","16%","9%","19%","36%","0%","0%","11%","10%","20%","20%","13%"
"d979bb1c-f437-4a07-ab57-c8fb4941f6e5","Poll Single Select","What is your age?","25-34","19%","0%","100%","0%","0%","0%","45%","5%","27%","17%","40%","0%","18%","21%","0%","0%","12%","30%","50%","13%","100%","50%","16%","20%","19%","22%","18%","0%","0%","0%","0%","12%","22%","25%","15%","23%","0%","24%","10%","25%","22%","23%","0%","17%","27%","17%","24%","14%","19%","20%","17%","26%","64%","0%","0%","20%","13%","20%","20%","15%"
"d979bb1c-f437-4a07-ab57-c8fb4941f6e5","Poll Single Select","What is your age?","33-44","20%","0%","0%","100%","0%","0%","18%","19%","27%","19%","30%","20%","22%","18%","0%","0%","21%","14%","33%","13%","0%","0%","11%","23%","21%","16%","22%","0%","0%","0%","50%","16%","22%","19%","18%","22%","0%","11%","26%","26%","14%","17%","0%","19%","23%","32%","16%","12%","18%","23%","19%","22%","0%","54%","0%","20%","17%","30%","30%","20%"
"d979bb1c-f437-4a07-ab57-c8fb4941f6e5","Poll Single Select","What is your age?","45-54","17%","0%","0%","0%","100%","0%","5%","38%","9%","17%","10%","20%","16%","19%","25%","0%","21%","14%","0%","13%","0%","0%","26%","16%","16%","17%","18%","100%","0%","0%","0%","19%","19%","10%","19%","16%","0%","19%","19%","16%","14%","19%","0%","17%","17%","13%","17%","23%","19%","16%","17%","17%","0%","46%","0%","17%","17%","10%","10%","15%"
"d979bb1c-f437-4a07-ab57-c8fb4941f6e5","Poll Single Select","What is your age?","55+","32%","0%","0%","0%","0%","100%","5%","19%","18%","37%","10%","60%","30%","34%","25%","100%","39%","36%","17%","50%","0%","0%","37%","25%","34%","35%","30%","0%","0%","0%","50%","29%","30%","44%","35%","30%","0%","38%","31%","21%","41%","31%","0%","33%","29%","27%","31%","41%","37%","25%","37%","16%","0%","0%","100%","31%","43%","20%","20%","38%"

"Question ID","Question Type","Question","Responses","All(300)","O1: 18-24 (33)","O1: 25-34 (58)","O1: 33-44 (60)","O1: 45-54 (52)","O1: 55+ (97)","O2: Asian (22)","O2: Black (21)","O2: Hispanic (11)","O2: White (231)","O2: Mixed (10)","O2: Other (5)","O3: Male (152)","O3: Female (143)","O3: Other (4)","O3: Prefer not to say (1)","O4: Christian - Protestant (98)","O4: Christian - Catholic (44)","O4: Christian - Mormon (6)","O4: Jewish (8)","O4: Muslim (1)","O4: Hindu (2)","O4: Other (19)","O4: None - I do not identify with any religious group or faith (122)","O5: Democrat (107)","O5: Republican (81)","O5: Independant (111)","O5: Other (1)","O6: No formal education (0)","O6: Elementary school (0)","O6: Middle school (2)","O6: High school or GED (85)","O6: College / Bachelors degree (165)","O6: Masters/ PhD or equivalent (48)","O7: A lot (140)","O7: A little (160)","O7: Nothing at all (0)","O8: Almost every day (37)","O8: Once or twice a week (89)","O8: Once or twice a month (57)","O8: Only once or twice ever (69)","O8: Never (48)","O8: Do not know what an AI assistant is (0)","O9: Yes, the public should help to decide how AI assistants answer difficult questions (218)","O9: No, I doubt the public has insight useful to guide how AI Assistants answer difficult questions (82)","O10: More excited than concerned (92)","O10: Equally concerned and excited (134)","O10: More concerned than excited (74)","Religious (178)","Not religious (122)","White (231)","Not white (69)","Under 34 (91)","33-54 (112)","55+ (97)","Support initial policy (249)","Unsure on initial policy (30)","Don't support initial policy (10)","Flipped to yes (10)","Unsure or dont support initial policy (40)"
"e974e63d-57d2-4113-a7fb-dc998381e19b","Poll Single Select","What is your ethnicity?","Asian","7%","18%","17%","7%","2%","1%","100%","0%","0%","0%","0%","0%","7%","8%","0%","0%","2%","5%","0%","0%","0%","100%","5%","12%","8%","4%","9%","0%","0%","0%","0%","6%","7%","10%","7%","8%","0%","8%","10%","9%","4%","4%","0%","9%","4%","10%","8%","3%","4%","12%","0%","32%","18%","4%","1%","8%","0%","0%","0%","0%"
"e974e63d-57d2-4113-a7fb-dc998381e19b","Poll Single Select","What is your ethnicity?","Black","7%","12%","2%","7%","15%","4%","0%","100%","0%","0%","0%","0%","10%","4%","0%","0%","12%","5%","0%","0%","0%","0%","5%","5%","11%","1%","7%","0%","0%","0%","0%","5%","9%","4%","8%","6%","0%","11%","8%","9%","4%","4%","0%","9%","2%","7%","8%","5%","8%","5%","0%","30%","5%","11%","4%","7%","7%","0%","0%","5%"
"e974e63d-57d2-4113-a7fb-dc998381e19b","Poll Single Select","What is your ethnicity?","Hispanic","4%","6%","5%","5%","2%","2%","0%","0%","100%","0%","0%","0%","7%","1%","0%","0%","2%","14%","0%","0%","0%","0%","5%","2%","3%","5%","4%","0%","0%","0%","0%","5%","4%","2%","4%","3%","0%","3%","3%","7%","1%","4%","0%","3%","5%","5%","3%","3%","5%","2%","0%","16%","5%","4%","2%","4%","0%","0%","0%","0%"
