"Tidstämpel","Prolific ID","Do you have any minority statuses, that'd be relevant to the questions you were asked? (Please list)","Did you lose motivation during the process? Were you confused? Did you make mistakes? Tell us where.","Was the process enjoyable or meaningful?","Would you trust this process to create a wise version of ChatGPT, based on the collected values of a large population?","Do you believe your contributions will find their way to the appropriate place in the final output, and be used to create a wise version of ChatGPT, based on the collected values of a large population?","Did the values you submitted and voted for express what you care about?","Did it help you clarify what was important to you?","Did you learn something about other people’s values?","Based on what you saw of others' values, did you gain respect for the other participants?","","","",""
"2023/09/26 10:11:54 em EEST","testing","","","3","","","","3","3","3","Libertarianism","3","",""
"2023/09/26 10:23:08 em EEST","123123123","","","3","","","","3","3","3","Environmentalism/Green politics","3","",""
"2023/10/04 5:31:40 fm EEST","65084cb6c3ef3213deafb378","no","no","3","2","2","2","3","2","3","","","",""
"2023/10/06 4:55:25 em EEST","65084cb6c3ef3213deafb378","","","2","3","3","3","3","3","3","","","",""
"2023/10/06 5:28:17 em EEST","62e0694f2df985fd601c85de","No","No","5","4","4","5","5","5","5","","","",""
"2023/10/06 5:32:59 em EEST","609449f609ad18c98dba5787","No","No, no, no","5","4","4","5","5","5","5","","","",""
"2023/10/06 5:58:25 em EEST","630dd0429f7ec338d28e2de1","Yes, mixed.","At first, I was confused till I realized I was just answering the question as myself. ","5","5","5","5","5","5","5","","","",""
"2023/10/06 6:01:22 em EEST","64d63276fa26c9f49ffcced1","There is none","There was no confusion","4","4","4","4","5","4","4","","","",""
"2023/10/06 6:04:15 em EEST","649d98ac16748716be901ed0","","Initially confused about instructions as to what my specific response should be.","4","4","4","5","4","4","5","","","",""
"2023/10/06 6:07:46 em EEST","6304d96fa9bd6e269ae89297","LGBTQ+","I wasn't confused, but I found the first task got boring when it kept asking very similar questions.","1","1","1","3","1","1","3","","","",""
"2023/10/06 6:16:41 em EEST","63d0af5d7dafc1dc61832e27","female, poor","everything was good","4","4","4","4","4","5","4","","","",""
"2023/10/06 6:17:41 em EEST","63614d513d6883f562b0ff79","No","I didn’t. I actually enjoyed the process.","5","3","4","4","4","5","5","","","",""
"2023/10/06 6:22:01 em EEST","64135777abac1cc9ff8e1901","No","I did not lose motivation and I was not confused ","5","5","5","5","3","5","5","","","",""
"2023/10/06 6:22:57 em EEST","5f4c4dd50a92c286c1972f06","No","No","3","4","3","3","3","3","2","","","",""
"2023/10/06 6:23:28 em EEST","60886a2ddac2de7cabea5447","No","The last three questions about “wiser” were confusing","4","1","2","3","1","3","3","","","",""
"2023/10/06 6:25:49 em EEST","5e49da75ea0f3c4553a9e3b2","Mixed race female","No","2","1","3","5","3","1","2","","","",""
"2023/10/06 6:28:24 em EEST","5eacd70006f95f33990e3df9","N/A","N/A","4","5","3","4","4","3","3","","","",""
"2023/10/06 6:29:07 em EEST","62b1f567d5f22515024421f1","NA","NA","5","4","4","4","4","4","5","","","",""
"2023/10/06 6:29:42 em EEST","62826187ebe3120bdbfb60a1","Lesbian ","I was confused in the end as it seemed like many of the values were the same so the testimonials about switching from one to another didn't make sense.","4","3","3","4","3","2","3","","","",""
"2023/10/06 6:30:34 em EEST","58e558cc728bea0001bbda24","no","no","3","3","3","4","4","5","5","","","",""
"2023/10/06 6:33:45 em EEST","611112142433b5e95c84acd9","","No but the last section “did this person become wiser” did not allow me to finish the first time-just loaded for five minutes. I refreshed and redid those theee problems","2","3","3","4","3","3","3","","","",""
"2023/10/06 6:34:56 em EEST","61251fec7300233c5d9c5f3a","No","No I don't think so, maybe a typo","3","4","4","4","4","2","4","","","",""
"2023/10/06 6:35:36 em EEST","5c50b6dc172b6c000177a036","None","No","5","5","5","5","5","3","3","","","",""
"2023/10/06 6:35:40 em EEST","5d13e3e6e51708001a43fa66","no","no","4","3","3","4","4","4","4","","","",""
"2023/10/06 6:37:37 em EEST","60f5d5e358c70ad7a534bc50","trans man","No, I did not. I was not confused. I don't think I made mistakes.","3","4","4","5","3","2","3","","","",""
"2023/10/06 6:41:21 em EEST","64dd0d6827d312a7fe7e84bd","no","No, it was interesting and engaging.","5","5","4","5","4","3","5","","","",""
"2023/10/06 6:41:34 em EEST","5c0765e10ea1410001a9dc5f","No","No","3","5","4","5","4","4","5","","","",""
"2023/10/06 6:41:53 em EEST","63e52399159a69bf0ea848c6","no","no","2","4","4","4","4","4","3","","","",""
