,timestamp,datetime,comment-id,author-id,agrees,disagrees,moderated,comment-body
0,1518501496471,Tue Feb 13 12:58:16 WIB 2018,895,1756,48,8,1,"Smallhouse Rd (at Campbell Ln) heading into town needs to be widened to have room for three lanes (left turn, straight, right turn)."
1,1518499107516,Tue Feb 13 12:18:27 WIB 2018,894,1480,27,16,1,Doctors should not overreact to the opioid crisis. People in pain shouldn't suffer because others lack self control and abuse the system.
2,1518498500733,Tue Feb 13 12:08:20 WIB 2018,893,1751,33,18,1,More free meeting space for nonprofits.
3,1518498456436,Tue Feb 13 12:07:36 WIB 2018,892,1751,1,0,-1,Skating rink on Gordon ave.
4,1518498361793,Tue Feb 13 12:06:01 WIB 2018,891,1751,59,9,1,After school activity centers for youth with later hours of operation.
5,1518498193970,Tue Feb 13 12:03:13 WIB 2018,890,1751,63,7,1,More affordable home ownership options.
6,1518497788717,Tue Feb 13 11:56:28 WIB 2018,889,1749,1,0,-1,We need to build up and support the historic downtown.   There needs to be less apartments and more activities that support the community.
7,1518497602288,Tue Feb 13 11:53:22 WIB 2018,888,1748,46,8,1,Better visibility on roads. Reflectors and better signage
8,1518497215716,Tue Feb 13 11:46:55 WIB 2018,887,1747,1,0,-1,Free cookies for everyone! Yay!
9,1518496966699,Tue Feb 13 11:42:46 WIB 2018,886,1747,1,0,-1,Legalize marijuana so people will stop talking about legalizing marijuana.
10,1518496723072,Tue Feb 13 11:38:43 WIB 2018,885,1745,46,9,1,The main problem facing is the workforce development. There is over 6500 jobs open in Warren County. This is a big issue.
11,1518495768900,Tue Feb 13 11:22:48 WIB 2018,884,1740,1,0,-1,Underground electrical wires in downtown area would be very attractive.
12,1518495611729,Tue Feb 13 11:20:11 WIB 2018,883,1740,1,0,-1,Burying electrical wires  in downtown area would make a nice addition as per appearance.
13,1518495277093,Tue Feb 13 11:14:37 WIB 2018,882,1510,34,18,1,Create shoulders on the bypass.
14,1518494836573,Tue Feb 13 11:07:16 WIB 2018,881,1670,1,0,-1,Refugees and immigrants add many things to our community and should be welcomed and supported.
