,"Existing technologies, such as renewable energy, electric vehicles, and heat pumps, can aid in the transition from fossil fuels and reduce global warming.","Technological breakthroughs, in areas like space travel or atmospheric manipulation, are essential for fully addressing global warming.",Government regulation and involvement play a crucial role in addressing climate change and transitioning away from harmful practices.,"Individual and collective actions, such as adopting sustainable lifestyles, reducing meat consumption, and using public transport, contribute to combating global warming.","Systemic transformations in economic structures, decentralizing power, and building stronger community connections are required to address global warming and change the way we think."
9190153,1,-1,1,-1,-1
92947608,1,-1,1,-1,-1
28634333,-1,-1,-1,-1,-1
28312389,-1,-1,-1,-1,-1
91782895,-1,-1,-1,-1,-1
61145487,-1,-1,1,-1,-1
30520126,-1,1,-1,-1,-1
61489654,1,1,1,1,-1
95362406,-1,1,-1,-1,-1
29257320,-1,-1,-1,1,-1
37286383,1,1,-1,1,-1
20928113,-1,-1,-1,-1,-1
76748472,1,-1,1,1,1
65022757,-1,-1,1,-1,-1
49466974,-1,-1,1,1,1
95482972,-1,-1,-1,-1,1
