,We already have the technological breakthroughs required for the transition away from fossil fuels and should focus on implementation.,Small changes and individual behavior are important steps in tackling climate change and have a collective impact.,Significant government regulation and systemic transformations in our economic structures are necessary to address climate change effectively.,"Global warming will not be completely solved, and the planet will continue to suffer the consequences of our actions and inactions.","The solution to global warming requires a change in mindset, community-based solutions, and building stronger connections with people and nature."
9190153,Yes,No,No,No,No
92947608,Yes,No,No,No,No
28634333,No,No,No,Yes,No
28312389,No,No,No,No,No
91782895,No,No,No,Yes,No
61145487,No,No,Yes,No,No
30520126,No,No,No,No,No
61489654,Yes,No,No,No,No
95362406,No,No,No,No,No
29257320,No,Yes,No,Yes,No
37286383,Yes,Yes,No,No,No
20928113,No,No,No,Yes,No
76748472,No,Yes,Yes,No,Yes
65022757,No,No,Yes,No,No
49466974,No,No,Yes,No,Yes
95482972,No,No,No,No,Yes
