,"Existing technologies such as renewable energy, electric vehicles, and heat pumps are already available and sufficient for the transition away from fossil fuels.","A major technological breakthrough, like space travel or atmosphere manipulation, is needed to save us from the effects of global warming.","Government, regulation, and consumer behavior play a crucial role in addressing climate change.","Global warming might not be solved due to issues like international cooperation, economic concerns, and the unwillingness to adapt.","Lifestyle and systemic changes, like reducing meat consumption, using public transit, and embracing community-based solutions, are essential for addressing climate change."
9190153,1,-1,1,-1,-1
92947608,1,-1,-1,-1,-1
28634333,-1,-1,-1,1,-1
28312389,-1,-1,-1,1,-1
91782895,-1,-1,-1,1,-1
61145487,-1,-1,1,-1,1
30520126,-1,1,-1,-1,-1
61489654,1,1,1,-1,1
95362406,-1,1,-1,-1,-1
29257320,-1,-1,1,1,-1
37286383,-1,1,1,-1,1
20928113,-1,-1,-1,1,-1
76748472,-1,-1,1,1,1
65022757,-1,-1,1,-1,-1
49466974,-1,-1,1,-1,1
95482972,-1,-1,-1,-1,1
