,Increasing the minimum wage can help address income inequality and provide a more livable wage for workers.,Raising the minimum wage could negatively impact small businesses that struggle to pay higher wages.,"A higher minimum wage may lead to higher prices and inflation, affecting other income earners.",Higher minimum wages might accelerate the adoption of automation and robotics in industries with low-skilled workers.,"Alternatives to raising minimum wage, like a guaranteed minimum income, should be considered as a solution to income equality."
215,1,-1,-1,1,1
85,-1,1,1,1,1
33,-1,-1,1,-1,1
14,1,-1,-1,-1,-1
55,1,1,1,1,1
92,1,-1,1,1,1
56,-1,1,1,1,1
52,-1,1,1,1,1
63,1,-1,1,-1,1
6,-1,1,1,1,1
47,-1,1,-1,1,-1
12,-1,1,1,1,1
110,1,1,-1,1,1
28,1,1,1,1,1
15,1,-1,-1,1,1
96,-1,1,1,1,1
5989,1,-1,-1,1,1
