,A higher minimum wage may be challenging for small businesses to afford and could lead to closures.,Increasing the minimum wage will contribute to a reduction in income inequality and provide a basic standard of living for workers.,"Raising the minimum wage might accelerate the adoption of robotics and automation, potentially reducing job opportunities for unskilled or low-skilled workers.",The minimum wage should be at least $15 and perhaps even higher to ensure a livable wage.,A guaranteed minimum income might be a better approach to solving the systemic problem of income inequality.
215,DISAGREE,AGREE,AGREE,AGREE,AGREE
85,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
33,DISAGREE,DISAGREE,DISAGREE,DISAGREE,AGREE
14,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE
55,AGREE,AGREE,AGREE,AGREE,AGREE
92,DISAGREE,AGREE,AGREE,AGREE,AGREE
56,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
52,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
63,DISAGREE,AGREE,AGREE,AGREE,DISAGREE
6,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
47,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
12,AGREE,DISAGREE,AGREE,DISAGREE,AGREE
110,AGREE,AGREE,AGREE,AGREE,AGREE
28,DISAGREE,AGREE,AGREE,AGREE,AGREE
15,DISAGREE,AGREE,AGREE,AGREE,AGREE
96,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
5989,DISAGREE,AGREE,DISAGREE,AGREE,AGREE
