,"1. The minimum wage should be increased to reflect a livable wage, as it is important for businesses to support their workers.","2. Raising the minimum wage may lead to an increase in automation and robotics, impacting low-skilled workers.","3. Small businesses may struggle to survive when faced with higher wage requirements, potentially leading to closures.",4. A higher minimum wage could contribute to inflation and affect various socio-economic groups.,5. A guaranteed minimum income could be a possible alternative solution for addressing income inequality.
215,1,1,-1,-1,1
85,-1,1,1,1,-1
33,-1,1,-1,-1,-1
14,1,-1,-1,-1,-1
55,1,1,-1,1,1
92,1,1,-1,-1,1
56,-1,1,1,1,1
52,-1,1,1,1,-1
63,1,-1,-1,1,1
6,-1,1,1,1,-1
47,-1,-1,-1,-1,-1
12,-1,1,1,1,-1
110,1,-1,-1,1,1
28,1,1,-1,1,1
15,1,1,-1,1,1
96,-1,1,1,1,-1
5989,1,1,-1,1,1
