,A higher minimum wage could negatively impact small businesses and make it harder for them to survive.,Increasing the minimum wage may speed up the adoption of automation and robotics in industries with low-skilled or unskilled workers.,Raising the minimum wage could help address income inequality and be a step towards a basic minimum income.,"A higher minimum wage may lead to inflation and other potential negative consequences, such as benefits being cut.","More drastic changes, such as a $20-$25 minimum wage or a guaranteed minimum income, may be necessary to effectively address income inequality and poverty."
215,-1,-1,1,-1,1
85,1,1,-1,1,-1
33,-1,1,-1,-1,1
14,-1,-1,1,-1,-1
55,-1,1,1,1,1
92,-1,1,1,-1,1
56,1,1,-1,1,-1
52,1,1,-1,1,-1
63,-1,-1,1,-1,1
6,1,1,-1,1,-1
47,1,-1,-1,-1,-1
12,1,1,-1,1,-1
110,-1,-1,1,1,1
28,-1,1,1,1,1
15,-1,1,1,-1,1
96,1,1,-1,1,-1
5989,-1,-1,1,-1,1
