,"An increase in minimum wage seeks to address income inequality and improve the livelihood of workers, even if it is an imperfect solution.","Raising the minimum wage could negatively affect small businesses' ability to survive, leading to potential closures.",A higher minimum wage might accelerate the adoption of automation and could cost low-skilled workers their jobs.,"Implementing a higher minimum wage could lead to inflation and unintended consequences for the economy, including penalizing higher-income populations.",Alternative solutions like a guaranteed basic income should be considered instead of solely focusing on raising the minimum wage.
215,1,-1,-1,-1,1
85,-1,1,1,1,1
33,-1,-1,1,-1,1
14,1,-1,-1,-1,-1
55,1,-1,-1,-1,1
92,1,-1,1,-1,1
56,-1,1,1,1,1
52,-1,1,1,1,1
63,1,-1,-1,-1,-1
6,-1,1,1,1,1
47,-1,-1,-1,-1,-1
12,-1,1,1,1,1
110,1,-1,1,-1,1
28,1,1,1,1,1
15,1,-1,1,-1,-1
96,-1,1,1,1,1
5989,1,-1,-1,-1,-1
