,1. Raising the minimum wage to a living wage is a necessary step to address income inequality and ensure that all workers can afford basic necessities.,"2. Increasing the minimum wage could have adverse effects on small businesses, potentially causing job loss and closures.","3. The implementation of a higher minimum wage may accelerate the adoption of automation and robotics, leading to job displacement but also potential benefits.",4. A guaranteed minimum income could be a more effective solution to addressing poverty and income inequality than raising the minimum wage.,5. Raising the minimum wage could cause inflation and may negatively impact the overall economy.
215,1,-1,1,1,-1
85,-1,1,1,1,1
33,-1,-1,-1,-1,-1
14,-1,-1,1,-1,-1
55,1,-1,1,1,-1
92,1,-1,1,1,-1
56,-1,1,1,1,1
52,-1,1,1,-1,1
63,1,-1,1,-1,-1
6,-1,1,1,-1,1
47,1,1,-1,-1,-1
12,-1,1,1,1,1
110,1,-1,1,1,1
28,1,-1,1,1,1
15,1,-1,1,-1,-1
96,-1,1,1,1,1
5989,1,-1,1,-1,-1
