,1. Raising the minimum wage to a living wage is a necessary step to address income inequality and ensure that all workers can afford basic necessities.,"2. Increasing the minimum wage could have adverse effects on small businesses, potentially causing job loss and closures.","3. The implementation of a higher minimum wage may accelerate the adoption of automation and robotics, leading to job displacement but also potential benefits.",4. A guaranteed minimum income could be a more effective solution to addressing poverty and income inequality than raising the minimum wage.,5. Raising the minimum wage could cause inflation and may negatively impact the overall economy.
215,AGREE,DISAGREE,AGREE,AGREE,DISAGREE
85,DISAGREE,AGREE,AGREE,AGREE,AGREE
33,DISAGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
14,DISAGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
55,AGREE,DISAGREE,AGREE,AGREE,DISAGREE
92,AGREE,DISAGREE,AGREE,AGREE,DISAGREE
56,DISAGREE,AGREE,AGREE,AGREE,AGREE
52,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
63,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
6,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
47,AGREE,AGREE,DISAGREE,DISAGREE,DISAGREE
12,DISAGREE,AGREE,AGREE,AGREE,AGREE
110,AGREE,DISAGREE,AGREE,AGREE,AGREE
28,AGREE,DISAGREE,AGREE,AGREE,AGREE
15,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
96,DISAGREE,AGREE,AGREE,AGREE,AGREE
5989,AGREE,DISAGREE,AGREE,DISAGREE,DISAGREE
