,A higher minimum wage may lead to difficulties for small businesses and potential job losses.,Raising the minimum wage is an attempt to address income inequality.,Increasing the minimum wage could accelerate the adoption of automation and robotics in low-skilled jobs.,Implementation of a higher minimum wage may result in inflation and negatively impact higher income individuals.,"Some individuals believe the minimum wage should be raised even higher than the proposed amount, such as $20 or $25 per hour."
215,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
85,AGREE,AGREE,AGREE,AGREE,DISAGREE
33,DISAGREE,AGREE,AGREE,DISAGREE,DISAGREE
14,DISAGREE,AGREE,DISAGREE,DISAGREE,DISAGREE
55,AGREE,AGREE,AGREE,AGREE,AGREE
92,DISAGREE,AGREE,AGREE,AGREE,AGREE
56,AGREE,AGREE,AGREE,AGREE,DISAGREE
52,AGREE,AGREE,AGREE,AGREE,DISAGREE
63,DISAGREE,AGREE,DISAGREE,DISAGREE,AGREE
6,AGREE,AGREE,AGREE,AGREE,DISAGREE
47,AGREE,DISAGREE,DISAGREE,DISAGREE,DISAGREE
12,AGREE,AGREE,AGREE,AGREE,DISAGREE
110,AGREE,AGREE,AGREE,DISAGREE,DISAGREE
28,AGREE,AGREE,AGREE,AGREE,AGREE
15,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
96,AGREE,AGREE,AGREE,AGREE,DISAGREE
5989,DISAGREE,AGREE,AGREE,DISAGREE,AGREE
