,Raising the minimum wage to a livable level is important to address income inequality and support workers' basic needs.,Higher minimum wage may negatively impact small businesses and potentially cause job losses or closures.,Adopting a higher minimum wage could lead to increased automation and reduce the need for human workers.,Implementing a higher minimum wage may cause inflation and unfairness towards higher income populations.,"Alternative solutions, such as guaranteed minimum income or unionization, should be considered in place of raising the minimum wage."
215,1,-1,1,-1,1
85,-1,1,1,1,-1
33,-1,-1,1,-1,1
14,1,-1,-1,-1,-1
55,1,1,1,-1,1
92,1,-1,1,-1,1
56,-1,1,1,1,1
52,-1,1,1,1,1
63,1,-1,-1,-1,-1
6,-1,1,1,1,1
47,-1,1,-1,-1,-1
12,-1,1,1,1,1
110,1,-1,1,-1,1
28,1,1,1,-1,1
15,1,-1,1,-1,-1
96,-1,1,1,1,1
5989,1,-1,1,-1,1
