,Increasing the minimum wage to a livable wage is a positive step for addressing income inequality.,Raising the minimum wage might have negative consequences for small businesses and job opportunities.,Alternative solutions like guaranteed minimum income should be considered.,Higher minimum wages could lead to increased automation and possible job loss in industries with unskilled or low-skilled workers.,The policy of raising the minimum wage may not be entirely fair for all groups in society.
215,1,-1,1,1,-1
85,-1,1,-1,1,1
33,-1,1,1,-1,1
14,1,-1,-1,-1,-1
55,1,-1,1,1,1
92,1,-1,1,1,1
56,-1,1,1,1,1
52,-1,1,1,1,1
63,1,-1,-1,-1,-1
6,-1,1,-1,1,1
47,-1,-1,-1,-1,1
12,-1,1,1,1,1
110,1,-1,1,1,1
28,1,1,1,1,1
15,1,-1,1,1,-1
96,-1,1,-1,1,1
5989,1,-1,1,-1,-1
