,Higher wages can have negative consequences on small businesses that might not be able to afford such an increase.,Increased minimum wage could result in job losses due to automation or reduced demand for labor.,Implementing a higher minimum wage can address income inequality and provide a better standard of living for workers.,"Raising the minimum wage might have negative consequences on the economy, such as causing inflation or reduced benefits.","Higher minimum wages could result in positive changes, and some argue for even greater increases."
215,-1,-1,1,-1,1
85,1,1,-1,1,-1
33,1,1,-1,-1,-1
14,-1,-1,1,-1,1
55,1,1,1,1,1
92,1,1,1,-1,1
56,1,1,-1,1,-1
52,1,1,-1,1,-1
63,-1,-1,1,-1,1
6,1,1,-1,1,-1
47,1,-1,-1,1,-1
12,1,1,-1,1,-1
110,-1,1,-1,1,1
28,1,1,1,1,1
15,-1,1,1,-1,1
96,1,1,-1,1,-1
5989,-1,-1,1,-1,1
