,id,subject,prompt template,comment,model,prompt,response,time
0,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",There should be officers more readily available to the county areas; ex. for domestic violence disputes.,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-14-19:02:58
1,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Hawaii outlaws billboards tokeep the landscape from being blocked I would love to see Bowling Green billboard free,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""Hawaii outlaws billboards tokeep the landscape from being blocked I would love to see Bowling Green billboard free""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-14-19:02:59
2,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",We need better cable options.,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""We need better cable options.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-14-19:03:00
3,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",More public transportation options--be creative,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""More public transportation options--be creative""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-14-19:03:01
4,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Parking lots should be monitored to prevent illegal parking in handicap spaces.,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""Parking lots should be monitored to prevent illegal parking in handicap spaces.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-14-19:03:02
5,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","Support non-public (or public charter) school choice options, and make choice viable for families of ALL income levels.",gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""Support non-public (or public charter) school choice options, and make choice viable for families of ALL income levels.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-14-19:03:04
6,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Human trafficking in Bowling Green needs to be investigated by the FBI before it becomes a larger problem swept under the rug.,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""Human trafficking in Bowling Green needs to be investigated by the FBI before it becomes a larger problem swept under the rug.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-14-19:03:05
7,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Tuckertown area needs fire protection. Currently rated Class 10 expensive insurance. Water lines are close by on Otter Gap & Tuckertown Rds.,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""Tuckertown area needs fire protection. Currently rated Class 10 expensive insurance. Water lines are close by on Otter Gap & Tuckertown Rds.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-14-19:03:06
8,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","One should not be able to literally ""buy"" their way into ability to vote in an election in a locality they do not live in.  $ don't buy vote",gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""One should not be able to literally ""buy"" their way into ability to vote in an election in a locality they do not live in.  $ don't buy vote""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-14-19:03:07
9,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Bowling Green needs to annex a solid geographic area & thereby eliminating those areas within our city that are not receiving city services.,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""Bowling Green needs to annex a solid geographic area & thereby eliminating those areas within our city that are not receiving city services.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-14-19:03:08
10,"(1290, (668,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Reducing poverty will enhance the quality of life for everyone in our community regardless of status.,gpt-4-0314,"Suppose a person holds the following opinion: ""There should be officers more readily available to the county areas; ex. for domestic violence disputes."" Would they agree with this: ""Reducing poverty will enhance the quality of life for everyone in our community regardless of status.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-14-19:03:09
