,id,subject,prompt template,comment,model,prompt,response,time
0,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Legal tax avoidance by multinationals must be addressed as a matter of priority. This revenue could ensure wealth was paying its fair share.,gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""Legal tax avoidance by multinationals must be addressed as a matter of priority. This revenue could ensure wealth was paying its fair share.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-07 10:08:32
1,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","Consideration of the ""fairness"" of tax needs to include the full tax and transfer system - that is why we have benefits and WFF.",gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""Consideration of the ""fairness"" of tax needs to include the full tax and transfer system - that is why we have benefits and WFF.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-07 10:08:33
2,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","Company income tax is only 16% of the total tax take. Changes should be made to increase this, particularly from multi-national companies",gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""Company income tax is only 16% of the total tax take. Changes should be made to increase this, particularly from multi-national companies""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-07 10:08:35
3,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",All taxes should be structured so the more you earn the more you pay. No tax should be regressive like GST.,gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""All taxes should be structured so the more you earn the more you pay. No tax should be regressive like GST.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-07 10:08:36
4,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Our income tax is some of the lowest in the OECD and this has lead to under-funding of services needed by low income families.,gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""Our income tax is some of the lowest in the OECD and this has lead to under-funding of services needed by low income families.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-07 10:08:37
5,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Create a directory of foreign owned trusts to prevent the $1.35bn of money laundered in NZ each year http://bit.ly/transparencyNZ,gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""Create a directory of foreign owned trusts to prevent the $1.35bn of money laundered in NZ each year http://bit.ly/transparencyNZ""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-07 10:08:38
6,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",Taxes should be used to prevent inflation and inequality,gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""Taxes should be used to prevent inflation and inequality""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",AGREE,2023-08-07 10:08:39
7,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",The government should work much harder to reel in the estimated $2bn of tax fraud each year. http://bit.ly/taxfraud2014,gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""The government should work much harder to reel in the estimated $2bn of tax fraud each year. http://bit.ly/taxfraud2014""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-07 10:08:40
8,"(72, (72,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","Reduce income tax to 10% flat and increase GST, taxing on consumption is fairer and also taxes under the table and black market economy.",gpt-4-0314,"Suppose a person holds the following opinion: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes."" Would they agree with this: ""Reduce income tax to 10% flat and increase GST, taxing on consumption is fairer and also taxes under the table and black market economy.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-07 10:08:42
9,"(83, (77,))",agree_disagree_best_guess_less_agree,"Suppose a person holds the following opinion: ""Legal tax avoidance by multinationals must be addressed as a matter of priority. This revenue could ensure wealth was paying its fair share."" Would they agree with this: ""{comment}""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.","In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes.",gpt-4-0314,"Suppose a person holds the following opinion: ""Legal tax avoidance by multinationals must be addressed as a matter of priority. This revenue could ensure wealth was paying its fair share."" Would they agree with this: ""In a fiat money system like ours the government can always 'fund' its programs, no matter how much or little the government taxes.""?Answer AGREE if they would agree and DISAGREE if they would disagree. Only put AGREE if you are reasonably confident that they would agree, as a safe default you should put DISAGREE. Your output should always be AGREE or DISAGREE and nothing else.",DISAGREE,2023-08-07 10:08:43
